word_1	word_2	biword	frequency
FUT	sing	FUT|sing	1
PROG	love	PROG|love	2
PST	east	PST|east	1
PROG	EMP	PROG|EMP	25
PFV	go.from	PFV|go.from	11
1POSS	ITER	1POSS|ITER	6
INCH	go	INCH|go	46
NMLZ.P	PST	NMLZ.P|PST	4
go.to	come[1sbj].	go.to|come[1sbj].	1
go.to	come	go.to|come	1
3NEG	be.right	3NEG|be.right	6
3NEG	appear	3NEG|appear	1
AFF.	PST	AFF.|PST	12
go.to	CESS	go.to|CESS	1
CESS	NMLZ.P	CESS|NMLZ.P	1
AFF	around	AFF|around	7
around	give	around|give	2
2OBJ[1SBJ].	PROG	2OBJ[1SBJ].|PROG	1
PROG	on.account.of	PROG|on.account.of	1
on.account.of	INCH	on.account.of|INCH	1
INCH	sprout[3sbj].	INCH|sprout[3sbj].	1
3SBJ.DEF	3NEG	3SBJ.DEF|3NEG	18
3NEG	EMP	3NEG|EMP	53
INCH	CONT	INCH|CONT	1
3SBJ.INDF.	PROG	3SBJ.INDF.|PROG	7
UNK	PL	UNK|PL	1
PL	starve[3sbj]	PL|starve[3sbj]	1
go.to	EMP	go.to|EMP	11
curlew	PST	curlew|PST	2
PST	behind	PST|behind	1
PFV	PROG	PFV|PROG	2
PST	all	PST|all	25
all	take	all|take	2
north.wind	around	north.wind|around	1
go.to	relating.to	go.to|relating.to	2
relating.to	EMP	relating.to|EMP	4
DEM	relating.to	DEM|relating.to	3
come<nmlz.p>[1sbj].	go.to	come<nmlz.p>[1sbj].|go.to	1
FUT	give	FUT|give	1
dry.kelp.	go.to	dry.kelp.|go.to	1
go.to	hand.over	go.to|hand.over	1
INST.IMPL[3SBJ.PASS]	2NEG	INST.IMPL[3SBJ.PASS]|2NEG	1
2NEG	take	2NEG|take	1
1POSS	relating.to	1POSS|relating.to	1
relating.to	take	relating.to|take	2
FUT	see	FUT|see	2
2SBJ.	ITER	2SBJ.|ITER	1
ITER	first	ITER|first	7
first	go	first|go	2
2SBJ<NMLZ.P>SBJV	then	2SBJ<NMLZ.P>SBJV|then	1
